fossils,total missed,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Homo Neanderthalensis,670,1,0,1,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,1,0,10,9,7,10,20,3,0,4,0,0,2,7,6,1,2,1,0,0,1,1,3,0,1,0,0,0,0,1,7,4,4,7,6,7,2,6,0,3,3,0,7,12,2,4,4,6,6,1,2,8,0,1,0,1,2,11,19,1,1,1,2,0,0,2,2,1,2,0,1,1,2,3,4,0
Astarte,596,1,0,5,5,0,0,0,0,1,1,0,0,0,0,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,8,6,7,6,14,9,31,3,0,3,3,0,0,7,0,2,0,0,0,1,1,1,4,0,0,5,0,3,0,0,5,6,10,5,1,1,1,1,0,0,0,0,6,9,3,6,5,2,7,0,0,4,0,2,0,3,1,14,2,0,2,0,0,0,0,2,4,3,1,1,0,0,1,2,0,0
Diplodocus,575,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,1,0,1,0,0,1,10,2,24,1,14,7,28,1,0,3,1,0,3,11,7,23,0,2,0,0,1,5,1,0,0,1,1,0,0,1,3,5,6,5,5,2,4,3,0,2,1,0,24,14,1,15,4,12,6,2,0,5,0,0,1,0,0,7,7,0,1,2,0,1,0,0,1,1,1,0,0,0,3,1,0,5
Homo Erectus,522,1,0,0,0,0,0,0,0,6,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,12,2,18,4,5,5,13,4,0,3,1,0,2,7,2,3,0,0,0,0,0,1,4,0,0,0,2,0,0,0,6,6,3,4,2,2,4,0,0,6,2,3,6,2,3,6,2,3,0,1,2,6,1,1,0,2,3,3,6,0,0,1,0,2,0,1,0,1,0,0,5,0,2,5,0,0
Mesohippus,469,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,4,7,2,18,4,0,2,2,0,0,6,8,10,2,0,0,0,0,0,1,0,1,2,0,0,0,0,4,2,7,6,0,1,1,0,0,0,0,0,14,8,5,13,4,4,12,1,1,0,0,1,0,2,0,6,2,0,0,0,0,1,1,0,2,1,0,1,0,1,2,0,1,1
Mosasauridae,446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,9,0,3,4,1,7,9,1,0,3,2,0,2,6,3,1,2,1,0,2,1,1,1,0,0,0,0,0,0,0,8,2,2,4,7,5,2,2,0,1,0,0,1,4,0,1,1,3,2,1,2,1,1,0,0,2,1,10,2,1,0,0,0,0,0,0,3,0,0,1,3,0,1,0,0,1
Mammuthus Primigenius,441,0,3,4,5,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,1,0,1,3,1,7,7,4,7,5,3,0,3,1,0,2,4,0,0,0,0,0,1,1,1,5,0,0,0,1,0,0,0,5,3,3,2,2,0,1,0,0,2,1,0,5,3,2,6,3,10,8,0,1,0,0,1,1,1,1,15,12,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,3
Glycymeris,435,2,0,0,0,0,1,0,0,5,4,0,1,0,0,3,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,6,3,8,9,28,14,30,0,0,1,1,0,1,10,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,5,7,7,5,1,1,1,0,2,1,1,5,2,0,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,1,2,1
Coelophysis,423,0,0,0,3,0,0,0,0,3,3,0,4,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,11,11,7,3,2,4,8,4,0,2,1,0,0,6,0,5,1,1,0,0,2,1,1,0,0,3,2,0,0,1,3,4,5,6,3,1,1,5,0,1,2,0,6,2,0,0,0,0,4,0,1,1,0,1,0,1,0,11,5,0,0,3,3,0,0,1,0,1,4,0,0,0,1,2,1,5
Platystrophia,421,0,0,0,1,0,0,0,1,4,0,0,2,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,6,2,15,16,11,12,15,4,0,2,2,0,1,7,0,2,1,1,0,1,0,1,0,0,0,0,0,4,0,0,1,1,5,7,3,1,1,1,0,3,0,1,5,1,0,2,1,0,1,0,0,1,0,1,0,1,1,5,4,1,0,1,0,1,0,0,1,3,2,0,0,0,0,2,0,1
Patagotitan,417,0,0,0,0,0,0,0,0,1,8,1,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,6,1,15,5,6,1,18,1,4,2,0,0,1,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,4,3,3,1,2,0,2,2,0,6,6,1,2,5,5,2,1,2,1,0,0,0,2,0,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
Australopithecus,410,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,2,1,0,0,0,1,0,0,2,0,0,1,1,0,1,3,2,12,4,9,8,11,2,2,4,2,0,0,8,4,1,0,0,0,1,2,1,0,0,1,0,0,0,0,1,3,1,5,4,3,9,0,0,0,2,0,0,2,1,3,2,0,1,0,5,0,1,0,2,0,0,0,15,9,0,0,1,1,1,0,0,1,1,0,0,2,1,0,0,0,0
Goniatitida,390,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,19,1,4,1,2,2,1,2,2,0,4,2,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,6,7,5,2,4,1,0,1,2,0,5,2,4,3,0,2,1,0,0,2,0,2,0,0,0,0,0,0,3,0,2,1,0,0,0,1,2,0,3,0,3,2,1,0
Maiasaura,387,0,0,0,2,0,0,0,0,2,8,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,1,6,1,14,4,10,0,0,6,1,0,0,0,1,1,0,4,0,1,1,0,2,0,1,0,0,3,0,1,3,4,2,3,4,3,0,6,0,1,4,1,8,0,1,3,0,0,5,0,0,3,0,0,0,0,1,4,3,1,0,1,0,0,0,0,0,1,3,0,0,0,0,2,1,2
Graptoloidea,382,0,0,1,0,0,0,0,0,0,3,0,5,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,12,0,12,0,7,5,5,3,1,0,2,0,2,6,2,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,4,4,6,3,6,4,0,4,0,5,0,1,8,2,3,1,0,3,1,0,1,4,1,0,0,2,3,7,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,2,1
Rhynchonellida,379,0,0,2,2,0,0,0,0,3,1,1,1,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,14,4,5,2,44,2,1,2,0,0,1,4,0,6,0,3,0,1,1,0,0,0,0,1,0,1,0,0,4,3,7,2,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
Nucula,379,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,2,13,8,1,1,3,1,1,1,2,0,1,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,3,3,7,1,2,3,0,3,1,1,1,4,2,5,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,4,1,0,0,0,1,1,2,1,1,0,1,4,1,1
Mammut,379,1,1,2,1,1,0,0,0,2,2,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,6,4,19,5,4,1,0,0,1,3,4,5,0,0,0,0,1,0,3,0,0,0,0,1,0,0,4,1,5,2,3,3,1,0,0,0,0,2,11,15,11,6,3,4,7,1,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,1,0,3,0,0,1,0,1,0,0
Equus,370,1,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,11,3,3,2,10,0,1,2,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,2,2,1,6,5,0,3,1,2,4,5,5,2,1,1,1,1,0,3,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,1,3,0,0,1,0,1,0,1
Pterosauria,369,2,0,0,3,0,0,0,0,1,0,0,2,0,0,2,0,3,1,0,1,0,1,1,0,2,0,0,0,0,1,5,0,2,7,2,5,4,1,0,1,2,0,1,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,6,6,6,1,2,5,2,2,0,1,8,7,2,6,0,1,1,0,1,2,0,0,0,0,1,4,3,0,0,2,0,1,1,0,2,1,4,1,0,0,2,0,0,0
Iguanodon,363,1,0,0,0,0,0,0,0,5,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,2,9,2,0,3,0,0,4,0,0,5,0,3,0,0,2,1,0,0,0,0,0,0,0,0,3,1,2,7,5,3,1,4,0,1,1,4,7,3,1,2,0,0,0,1,0,2,0,1,0,1,1,5,7,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,7
Brachiosaurus,354,0,1,0,1,0,0,0,0,3,5,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4,4,5,13,2,0,2,1,0,0,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,3,0,0,0,3,1,0,2,0,4,2,3,8,1,4,0,0,0,2,0,0,0,1,0,2,2,0,1,0,2,0,0,0,2,1,1,2,2,0,2,0,0,2
Basilosaurus,341,0,0,0,0,0,1,0,0,4,2,0,2,0,0,2,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,2,14,2,6,7,12,1,3,3,1,0,1,4,1,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,2,2,5,4,6,1,2,0,1,1,0,9,0,0,5,2,2,1,1,1,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,5,1,0
Plateosaurus,339,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,4,2,5,0,8,4,9,3,0,2,2,0,0,5,4,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,6,2,8,2,0,0,2,0,0,4,0,0,5,3,0,0,0,2,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0
Spinosaurus,336,0,0,2,1,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,0,2,1,13,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,4,3,5,9,1,2,3,2,0,1,0,0,1,3,3,0,0,0,0,1,0,1,0,1,0,1,0,2,2,0,1,0,1,1,0,1,2,1,1,0,0,1,0,0,7,0
Chert,334,1,0,0,1,0,0,0,0,10,7,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,7,3,3,3,0,2,1,0,0,3,5,5,0,0,4,0,0,0,0,0,0,1,1,0,0,0,6,3,3,1,2,1,2,0,0,1,0,1,6,1,2,1,0,3,0,0,1,2,1,0,1,1,0,3,2,0,1,2,0,1,0,1,4,4,3,1,0,2,0,1,1,2
Acanthostega,318,0,0,0,1,0,0,0,0,6,0,0,1,0,0,1,0,2,0,1,0,0,1,0,2,1,0,3,0,0,0,4,0,22,12,14,1,10,0,0,1,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,3,2,4,4,2,1,2,0,0,2,1,1,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,1,2,0,3,0,0,1,0,0
Platanus,311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,2,0,0,0,0,1,1,0,0,1,1,1,1,3,4,8,1,2,3,12,1,2,3,1,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,3,2,0,1,7,1,2,4,1,2,0,0,0,0,0,0,2,2,0,0,3,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1
Favosites,308,0,2,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,3,2,4,13,1,17,2,0,1,2,0,1,2,4,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,4,1,1,6,4,0,4,1,0,0,0,0,10,5,1,2,1,0,1,0,1,2,1,0,1,1,0,7,3,1,0,2,1,0,0,0,1,0,1,1,1,1,0,1,0,2
Nautilida,304,0,0,0,0,0,0,0,0,1,9,0,1,2,0,3,0,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,7,7,4,2,1,10,0,0,3,1,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,11,2,0,2,3,3,0,1,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,2,1,1
Dendroidea,304,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,7,4,8,0,6,0,0,1,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,6,3,3,1,1,4,1,0,2,3,0,7,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,1,1
Atrypa,304,0,0,0,1,0,0,0,0,10,0,0,2,1,0,0,1,2,1,0,0,0,0,0,4,0,0,0,0,0,0,9,7,17,8,5,5,3,1,0,2,1,0,1,3,0,1,1,2,0,0,0,0,0,0,0,1,0,2,0,0,6,2,6,2,1,3,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,1,1,0,0,0,1,0,3,1,0,0,0,1,0,0
Allosaurus,302,2,0,1,1,0,0,0,0,0,1,0,3,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,14,8,3,1,4,0,1,1,0,0,2,1,3,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,2,2,4,5,5,4,2,1,2,0,2,2,12,7,1,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1
Exogyra,297,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,1,3,5,4,4,11,1,0,1,2,0,4,2,2,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,3,1,5,5,4,1,1,0,0,1,1,1,2,4,0,3,0,0,1,0,0,2,0,0,0,0,0,3,3,0,1,0,2,0,1,1,2,1,0,0,0,0,1,0,0,0
Eusthenopteron,295,0,0,0,0,0,0,0,1,5,5,0,4,3,0,2,1,1,0,0,3,0,0,0,1,0,0,1,0,0,0,7,6,8,4,0,1,3,1,1,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,9,3,2,6,4,2,1,2,1,2,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,3,0,0,0,0,3,0,0
Ichthyornis,293,0,0,1,0,0,0,0,0,12,2,0,1,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,0,1,5,1,5,7,7,2,11,6,1,0,0,0,2,4,6,9,1,0,0,0,1,0,1,0,0,0,2,0,0,0,4,0,2,3,2,3,0,2,0,1,0,1,8,2,1,3,1,1,0,0,1,2,0,1,0,0,1,6,2,0,1,0,0,0,0,0,2,0,2,0,1,0,2,0,1,0
Ceratitida,293,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,13,1,10,4,14,3,1,3,0,0,0,4,1,7,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,4,8,5,3,2,1,1,0,0,0,1,9,2,1,4,0,2,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,0,0,3,1,0,0,0,1,1,1,0,4
Hexagonaria,292,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,7,4,3,1,3,1,1,2,1,0,1,4,7,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,3,0,4,1,6,2,0,1,0,0,2,1,17,4,4,1,2,7,3,0,0,3,0,0,0,1,0,0,3,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0
